                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,,,
0,3.7679,5.3499,2.1416,0.21242,0.05779,0.04267,0.01414,2.8723,2.768,1.5376,0.0033314,0.0033314,0.0033314,,,,,,,,
1,2.9015,2.7771,1.4615,0.20448,0.10558,0.08963,0.03504,2.6915,2.6346,1.4361,0.0066528,0.0066528,0.0066528,,,,,,,, 1809631 parameters
2,2.673,2.4454,1.358,0.35279,0.12415,0.11992,0.04744,2.4563,2.1762,1.3308,0.0099621,0.0099621,0.0099621,,,,,,,,
3,2.5235,2.1751,1.2912,0.35631,0.15288,0.15206,0.06042,2.3919,2.073,1.2985,0.009946,0.009946,0.009946,,,,,,,,
4,2.4129,2.0622,1.235,0.23999,0.16311,0.16302,0.06552,2.3024,2.0775,1.231,0.009946,0.009946,0.009946,,,,,,"                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|閳诲牃鏋呴埢鍫氭瀰閳诲牃鏋呴埢鍫氭瀰閳诲牃鏋厊 3505/3505 [06:23<00:00,  9.13it/s]",,
5,2.3428,1.9501,1.2028,0.50482,0.17474,0.18586,0.07483,2.2722,1.9911,1.2133,0.009928,0.009928,0.009928,,,,,,                   all      14018     376118      0.651      0.599      0.592       0.26,,
6,2.2835,1.8533,1.1799,0.49999,0.18315,0.18868,0.07789,2.2662,1.8717,1.2125,0.00991,0.00991,0.00991,,,,,,              airplane      14018        854      0.766      0.686       0.73      0.356,,
7,2.2668,1.8075,1.1737,0.62711,0.19648,0.20617,0.08254,2.2115,1.8572,1.1907,0.009892,0.009892,0.009892,,,,,,                bridge      14018        802      0.642       0.47      0.487      0.172,,
8,2.2501,1.7428,1.158,0.49956,0.20542,0.21223,0.08598,2.2057,1.7769,1.1807,0.009874,0.009874,0.009874,,,,,,          storage-tank      14018       6089      0.809      0.761        0.8      0.431,,
9,2.2267,1.7181,1.1505,0.36789,0.24548,0.22861,0.09269,2.1881,1.7255,1.1779,0.009856,0.009856,0.009856,,,,,,                  ship      14018      18945      0.758       0.73      0.773      0.386,,
10,2.2019,1.679,1.1428,0.54021,0.22028,0.24819,0.10262,2.1632,1.7185,1.1714,0.009838,0.009838,0.009838,,,,,,         swimming-pool      14018        465      0.433      0.652       0.46      0.187,,
11,2.2038,1.6617,1.1394,0.32285,0.26287,0.26928,0.1049,2.1822,1.6902,1.1691,0.00982,0.00982,0.00982,,,,,,               vehicle      14018     332600      0.777      0.735      0.755      0.323,,
12,2.1957,1.6207,1.1411,0.45159,0.31398,0.30057,0.12862,2.1482,1.6166,1.1597,0.009802,0.009802,0.009802,,,,,,                person      14018      16029      0.706      0.295      0.416      0.146,,
13,2.1704,1.5834,1.1285,0.51605,0.29687,0.31825,0.13023,2.1356,1.6218,1.1557,0.009784,0.009784,0.009784,,,,,,             wind-mill      14018        334      0.319      0.464      0.312     0.0798,,
14,2.1546,1.5795,1.1273,0.43792,0.29693,0.31839,0.13051,2.139,1.5785,1.1566,0.009766,0.009766,0.009766,,,,,,"Speed: 0.2ms preprocess, 20.0ms inference, 0.0ms loss, 0.8ms postprocess per image",,
15,2.1481,1.5623,1.1309,0.40981,0.3618,0.34006,0.1378,2.1226,1.557,1.1524,0.009748,0.009748,0.009748,,,,,,,,
16,2.1493,1.5248,1.1226,0.42919,0.34428,0.32937,0.13724,2.1077,1.5561,1.1476,0.00973,0.00973,0.00973,,,,,,,,
17,2.1428,1.5595,1.1208,0.4266,0.36142,0.35165,0.14353,2.1162,1.5563,1.1504,0.009712,0.009712,0.009712,,,,,,,,
18,2.126,1.4957,1.1212,0.59345,0.36997,0.37233,0.14941,2.1043,1.5151,1.1444,0.009694,0.009694,0.009694,,,,,,,,
19,2.1394,1.4933,1.1204,0.52482,0.3718,0.36363,0.14693,2.092,1.5059,1.1395,0.009676,0.009676,0.009676,,,,,,,,
20,2.1262,1.4843,1.1181,0.58901,0.33708,0.37226,0.15119,2.0911,1.4826,1.1392,0.009658,0.009658,0.009658,,,,,,,,
21,2.126,1.4913,1.1174,0.59312,0.3572,0.37039,0.14786,2.1033,1.4894,1.1421,0.00964,0.00964,0.00964,,,,,,,,
22,2.1208,1.4753,1.112,0.60049,0.36181,0.38275,0.15478,2.0865,1.4648,1.1364,0.009622,0.009622,0.009622,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.236,,
23,2.1096,1.4887,1.1145,0.64813,0.36344,0.39838,0.16454,2.0789,1.4605,1.1355,0.009604,0.009604,0.009604,,,,,, Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.542,,
24,2.1111,1.474,1.1169,0.54598,0.38028,0.40323,0.16447,2.0702,1.4497,1.1333,0.009586,0.009586,0.009586,,,,,, Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.166,,
25,2.1099,1.451,1.1118,0.47878,0.40999,0.38569,0.15486,2.078,1.4462,1.135,0.009568,0.009568,0.009568,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.227,,
26,2.0968,1.429,1.1056,0.63334,0.36155,0.39703,0.16075,2.0765,1.4254,1.1327,0.00955,0.00955,0.00955,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.376,,
