                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,
0,3.3885,3.6854,2.9082,0.06553,0.09965,0.06071,0.02475,2.6751,2.7455,2.072,0.0033313,0.0033313,0.0033313,,,,,,
1,2.597,2.7708,1.965,0.1101,0.12452,0.08864,0.03997,2.3139,2.3178,1.7336,0.0066526,0.0066526,0.0066526,,,,,,
2,2.3485,2.4955,1.7329,0.24032,0.15945,0.10663,0.04946,2.1353,2.1681,1.6237,0.0099619,0.0099619,0.0099619,,,,,,
3,2.1736,2.2812,1.6025,0.17659,0.16446,0.1323,0.06701,1.9962,1.9735,1.5091,0.009946,0.009946,0.009946,,,,,,
4,2.0356,2.094,1.5008,0.23504,0.20478,0.16605,0.08564,1.857,1.7944,1.4174,0.009946,0.009946,0.009946,,,,,,
5,1.9374,1.9673,1.4327,0.24203,0.21912,0.17681,0.09414,1.7731,1.7236,1.3656,0.009928,0.009928,0.009928,,,,,"YOLOv8-XYWNet-maxf summary (fused): 338 layers, 1810405 parameters, 0 gradients",
6,1.877,1.8959,1.3816,0.30347,0.22856,0.20065,0.10871,1.7568,1.698,1.3364,0.00991,0.00991,0.00991,,,,,"val: Scanning D:\pycharm\PyCharm Community Edition 2023.2.1\dataset\VisDrone\VisDrone2019-DET-val\labels.cache... 548 images, 0 backgrounds, 0 corrupt: 100%|鈻堚枅鈻堚枅鈻堚枅鈻堚枅鈻堚枅| 548/548 [00:00<?, ?it/s]",
7,1.8641,1.8644,1.3429,0.2974,0.23861,0.2071,0.11352,1.7676,1.6823,1.2964,0.009892,0.009892,0.009892,,,,,"                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|鈻堚枅鈻堚枅鈻堚枅鈻堚枅鈻堚枅| 137/137 [00:12<00:00, 10.70it/s]",
8,1.8489,1.838,1.3068,0.31184,0.25886,0.22907,0.12555,1.7151,1.6173,1.2623,0.009874,0.009874,0.009874,,,,,                   all        548      38759      0.575      0.446      0.477      0.289,
9,1.8214,1.7926,1.2824,0.32978,0.26294,0.24005,0.13389,1.6949,1.6035,1.2443,0.009856,0.009856,0.009856,,,,,            pedestrian        548       8844      0.681       0.47      0.557      0.274,
10,1.7889,1.7442,1.2638,0.31936,0.26986,0.24726,0.13924,1.6615,1.5618,1.2261,0.009838,0.009838,0.009838,,,,,                people        548       5125      0.628      0.385      0.449      0.191,
11,1.7702,1.7065,1.2491,0.34808,0.28918,0.26116,0.14617,1.6567,1.5292,1.2166,0.00982,0.00982,0.00982,,,,,               bicycle        548       1287      0.353      0.235      0.212     0.0973,
12,1.7526,1.6852,1.2351,0.34693,0.28819,0.2626,0.14735,1.6376,1.5097,1.2072,0.009802,0.009802,0.009802,,,,,                   car        548      14064      0.778      0.824      0.857      0.624,
13,1.7332,1.652,1.226,0.36961,0.3007,0.28057,0.15844,1.6155,1.4795,1.194,0.009784,0.009784,0.009784,,,,,                   van        548       1975       0.61       0.49      0.526      0.376,
