                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,
0,3.6122,3.7234,3.1473,0.38358,0.07636,0.05171,0.02023,2.7819,2.7327,2.2328,0.0033272,0.0033272,0.0033272,,,,,
1,2.6306,2.7547,2.0362,0.12092,0.13816,0.09117,0.03972,2.3343,2.3068,1.8202,0.0066473,0.0066473,0.0066473,,,,,
2,2.3201,2.392,1.7309,0.19855,0.14411,0.11698,0.05517,2.1038,2.0339,1.6346,0.0099543,0.0099543,0.0099543,,,,,
3,2.0875,2.092,1.5666,0.20046,0.18082,0.14283,0.07389,1.9573,1.922,1.5177,0.0099406,0.0099406,0.0099406,,,,,
4,1.9288,1.8565,1.4657,0.27901,0.23101,0.19397,0.10165,1.7786,1.6317,1.4043,0.0099406,0.0099406,0.0099406,,,,,
5,1.8364,1.7215,1.3979,0.32153,0.25125,0.22701,0.12129,1.6983,1.5425,1.3598,0.0099208,0.0099208,0.0099208,,,,,
6,1.7599,1.6052,1.3617,0.30351,0.27128,0.24043,0.13256,1.6697,1.4748,1.3388,0.009901,0.009901,0.009901,,,,,
7,1.716,1.5437,1.3375,0.36256,0.27413,0.26098,0.14431,1.6121,1.4282,1.3104,0.0098812,0.0098812,0.0098812,,,,,"YOLOv8s-XYWNet-maxf summary (fused): 338 layers, 6373016 parameters, 0 gradients"
8,1.694,1.5058,1.3169,0.38775,0.29772,0.28753,0.15859,1.5962,1.3947,1.2902,0.0098614,0.0098614,0.0098614,,,,,"val: Scanning D:\pycharm\PyCharm Community Edition 2023.2.1\dataset\VisDrone\VisDrone2019-DET-val\labels.cache... 548 images, 0 backgrounds, 0 corrupt: 100%|鈻堚枅鈻堚枅鈻堚枅鈻堚枅鈻堚枅| 548/548 [00:00<?, ?it/s]"
9,1.6883,1.5095,1.2918,0.37182,0.29651,0.28284,0.15739,1.6256,1.4682,1.2737,0.0098416,0.0098416,0.0098416,,,,,"                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|鈻堚枅鈻堚枅鈻堚枅鈻堚枅鈻堚枅| 137/137 [00:21<00:00,  6.46it/s]"
10,1.6931,1.5283,1.2633,0.40062,0.31277,0.30188,0.16959,1.6006,1.4018,1.2461,0.0098218,0.0098218,0.0098218,,,,,                   all        548      38759      0.599      0.497      0.524      0.323
11,1.6738,1.4893,1.2414,0.42249,0.32624,0.32486,0.18574,1.5582,1.3587,1.2228,0.009802,0.009802,0.009802,,,,,            pedestrian        548       8844      0.704      0.522      0.604      0.305
12,1.647,1.4556,1.2299,0.42259,0.34076,0.33133,0.19009,1.5478,1.3461,1.2163,0.0097822,0.0097822,0.0097822,,,,,                people        548       5125      0.616      0.456      0.486       0.21
13,1.6265,1.4353,1.2191,0.445,0.32446,0.32769,0.18873,1.5454,1.3418,1.2112,0.0097624,0.0097624,0.0097624,,,,,               bicycle        548       1287      0.382      0.305      0.289       0.14
14,1.6102,1.413,1.216,0.43444,0.3452,0.34288,0.19666,1.5208,1.3158,1.2004,0.0097426,0.0097426,0.0097426,,,,,                   car        548      14064      0.814      0.836      0.873      0.647
15,1.5972,1.3819,1.2054,0.43708,0.35219,0.34401,0.19879,1.5098,1.2964,1.1929,0.0097228,0.0097228,0.0097228,,,,,                   van        548       1975      0.617      0.529      0.561      0.408
16,1.596,1.378,1.2014,0.44587,0.35311,0.34921,0.20194,1.5203,1.3067,1.1984,0.009703,0.009703,0.009703,,,,,                 truck        548        750      0.609      0.432      0.456      0.306
17,1.5768,1.354,1.1935,0.4549,0.37105,0.36802,0.21182,1.4894,1.2741,1.1827,0.0096832,0.0096832,0.0096832,,,,,              tricycle        548       1045      0.519      0.411      0.417      0.243
18,1.5759,1.3382,1.1873,0.46109,0.37077,0.37349,0.21543,1.4883,1.2487,1.1843,0.0096634,0.0096634,0.0096634,,,,,       awning-tricycle        548        532      0.389      0.278       0.26      0.163
19,1.5486,1.3144,1.1823,0.46804,0.37821,0.37395,0.21771,1.4701,1.2453,1.1728,0.0096436,0.0096436,0.0096436,,,,,                   bus        548        251      0.695      0.618      0.686      0.498
20,1.5427,1.3108,1.1856,0.46931,0.36898,0.37384,0.21864,1.4728,1.2518,1.1768,0.0096238,0.0096238,0.0096238,,,,,                 motor        548       4886      0.644      0.584      0.608      0.305
